============================================
   BATTERY PERFORMANCE TEST REPORT
============================================
App Tested     : msedge.exe
Test Duration  : 1090 seconds
Test Date/Time : 2026-04-24 16:58:05

--- SYSTEM METRICS SUMMARY ---
Average CPU Usage  : 0.13%
Peak CPU Usage     : 12.5%
Average Memory     : 25.93 MB
Peak Memory        : 27.09765625 MB
Battery (Start)    : 100%
Battery (End)      : 100%
Battery Drain      : 0%

--- IMPACT SCORES ---
CPU Impact     : Low
Memory Impact  : Low
Battery Impact : Low
OVERALL SCORE  : 🟢 Low Impact

--- RECOMMENDATION ---
This app is battery-friendly. Safe to run in the background.

--- RAW READINGS ---
Timestamp   | CPU (%)  | Memory (MB) | Battery (%)
16:36:11    |      0.0 |        26.6 | 100.0      
16:36:14    |      0.0 |        26.6 | 100.0      
16:36:17    |      0.0 |        26.6 | 100.0      
16:36:20    |      0.0 |        26.7 | 100.0      
16:36:23    |      0.0 |        26.7 | 100.0      
16:36:26    |      0.0 |        26.7 | 100.0      
16:36:29    |      0.0 |        26.7 | 100.0      
16:36:32    |      0.0 |        26.7 | 100.0      
16:36:35    |      0.0 |        26.7 | 100.0      
16:36:38    |      0.0 |        26.7 | 100.0      
16:36:41    |      0.0 |        26.7 | 100.0      
16:36:44    |      0.0 |        26.7 | 100.0      
16:36:47    |      0.0 |        26.7 | 100.0      
16:36:50    |      0.0 |        24.8 | 100.0      
16:36:54    |      0.0 |        24.9 | 100.0      
16:36:57    |      0.0 |        24.9 | 100.0      
16:37:00    |      0.0 |        24.9 | 100.0      
16:37:03    |      0.0 |        24.9 | 100.0      
16:37:06    |      0.0 |        24.9 | 100.0      
16:37:09    |      0.0 |        24.9 | 100.0      
16:37:12    |      0.0 |        24.9 | 100.0      
16:37:15    |      0.0 |        24.9 | 100.0      
16:37:18    |      0.0 |        24.9 | 100.0      
16:37:21    |      0.0 |        24.9 | 100.0      
16:37:24    |      0.0 |        24.9 | 100.0      
16:37:27    |      0.0 |        24.9 | 100.0      
16:37:30    |      0.0 |        24.9 | 100.0      
16:37:33    |      3.1 |        24.9 | 100.0      
16:37:36    |      0.0 |        24.9 | 100.0      
16:37:39    |      0.0 |        24.9 | 100.0      
16:37:42    |      0.0 |        25.0 | 100.0      
16:37:45    |      0.0 |        25.0 | 100.0      
16:37:48    |      0.0 |        25.0 | 100.0      
16:37:51    |      0.0 |        25.0 | 100.0      
16:37:54    |      0.0 |        25.0 | 100.0      
16:37:57    |      0.0 |        25.0 | 100.0      
16:38:00    |      0.0 |        25.0 | 100.0      
16:38:03    |      0.0 |        25.0 | 100.0      
16:38:06    |      0.0 |        25.0 | 100.0      
16:38:09    |      0.0 |        25.0 | 100.0      
16:38:12    |      0.0 |        25.0 | 100.0      
16:38:15    |      0.0 |        25.0 | 100.0      
16:38:18    |      0.0 |        25.1 | 100.0      
16:38:21    |      0.0 |        25.1 | 100.0      
16:38:24    |      0.0 |        25.1 | 100.0      
16:38:27    |      0.0 |        25.1 | 100.0      
16:38:30    |      0.0 |        25.1 | 100.0      
16:38:34    |      0.0 |        25.1 | 100.0      
