Timestamp,CPU (%),Memory (MB),Battery (%)
16:30:30,0.0,25.79296875,100
16:30:33,0.0,25.79296875,100
16:30:36,0.0,25.80078125,100
16:30:39,0.0,25.80078125,100
16:30:42,0.0,25.8046875,100
16:30:46,0.0,25.81640625,100
16:30:49,0.0,25.8203125,100
16:30:52,0.0,25.83203125,100
16:30:55,0.0,25.8359375,100
16:30:58,0.0,25.84375,100
16:31:01,0.0,25.84375,100
16:31:04,0.0,25.859375,100
16:31:07,0.0,25.890625,100
16:31:10,0.0,25.890625,100
16:31:13,0.0,25.89453125,100
16:31:16,0.0,25.89453125,100
16:31:19,0.0,25.9609375,100
16:31:22,0.0,25.96484375,100
16:31:25,0.0,25.96875,100
16:31:28,0.0,25.97265625,100
16:31:31,0.0,25.984375,100
16:31:34,0.0,25.984375,100
16:31:37,0.0,25.98828125,100
16:31:40,0.0,25.98828125,100
16:31:43,0.0,25.98828125,100
16:31:46,0.0,26.0,100
16:31:49,1.6,26.0,100
16:31:52,0.0,26.00390625,100
16:31:55,0.0,26.015625,100
16:31:58,0.0,26.0234375,100
16:32:01,0.0,26.03125,100
16:32:04,0.0,26.0390625,100
16:32:07,0.0,26.046875,100
16:32:10,0.0,26.0546875,100
16:32:13,0.0,26.0625,100
16:32:16,1.6,26.0625,100
16:32:19,0.0,26.06640625,100
16:32:22,0.0,26.0703125,100
16:32:25,0.0,26.078125,100
16:32:28,0.0,26.0859375,100
16:32:31,0.0,26.0859375,100
16:32:34,0.0,26.0859375,100
16:32:37,0.0,26.08984375,100
16:32:40,1.6,26.09765625,100
16:32:43,0.0,26.109375,100
16:32:46,0.0,26.11328125,100
16:32:49,0.0,26.12109375,100
16:32:52,0.0,26.12890625,100
16:32:55,0.0,26.12890625,100
16:32:58,0.0,26.1328125,100
16:33:01,0.0,26.14453125,100
16:33:04,0.0,26.1484375,100
16:33:07,0.0,26.15234375,100
16:33:10,0.0,26.15625,100
16:33:13,0.0,26.16015625,100
16:33:16,0.0,26.1640625,100
16:33:19,0.0,26.1640625,100
16:33:22,0.0,26.171875,100
16:33:25,0.0,26.1171875,100
16:33:28,0.0,26.1171875,100
16:33:31,0.0,26.1171875,100
16:33:34,0.0,26.12890625,100
16:33:37,0.0,26.1328125,100
16:33:40,0.0,26.13671875,100
16:33:43,0.0,26.13671875,100
16:33:46,0.0,26.13671875,100
16:33:49,0.0,26.203125,100
16:33:52,0.0,26.203125,100
16:33:55,0.0,26.20703125,100
16:33:58,0.0,26.2109375,100
16:34:01,0.0,26.21484375,100
16:34:04,0.0,26.21875,100
16:34:07,0.0,26.22265625,100
16:34:10,0.0,26.234375,100
16:34:13,0.0,26.296875,100
16:34:16,0.0,26.296875,100
16:34:19,0.0,26.296875,100
16:34:22,0.0,26.296875,100
16:34:25,0.0,26.296875,100
16:34:28,0.0,26.30078125,100
16:34:31,0.0,26.30078125,100
16:34:34,1.5,26.30078125,100
16:34:37,0.0,26.3046875,100
16:34:40,0.0,26.3046875,100
16:34:43,0.0,26.3125,100
16:34:46,0.0,26.3125,100
16:34:49,0.0,26.3125,100
16:34:52,0.0,26.31640625,100
16:34:55,0.0,26.31640625,100
16:34:58,0.0,26.31640625,100
16:35:01,0.0,26.32421875,100
16:35:04,0.0,26.32421875,100
16:35:08,0.0,26.32421875,100
16:35:11,0.0,26.32421875,100
16:35:14,1.5,26.33203125,100
16:35:17,0.0,26.5,100
16:35:20,1.6,26.5,100
16:35:23,0.0,26.50390625,100
16:35:26,0.0,26.5078125,100
16:35:29,0.0,26.5078125,100
16:35:32,1.6,26.5078125,100
16:35:35,0.0,26.5078125,100
16:35:38,0.0,26.51171875,100
16:35:41,0.0,26.515625,100
16:35:44,0.0,26.515625,100
16:35:47,0.0,26.51953125,100
